x,y
11.873804971319313, -1.1124137931034483
14.110898661567878, -1.2020689655172414
15.086042065009561, -1.250344827586207
14.74187380497132, -1.2655172413793103
16.978967495219887, -1.403448275862069
18.986615678776293, -1.490344827586207
23.0019120458891, -1.723448275862069
26.61567877629063, -1.62
26.988527724665396, -1.6600000000000001
27.820267686424472, -1.690344827586207
30.889101338432127, -1.610344827586207
31.003824091778206, -1.7606896551724138
32.20841300191204, -1.7579310344827586
29.799235181644363, -1.8586206896551725
27.27533460803059, -1.7193103448275862
